ENL	ESL	EFL	Team	Team Points	Speaker Points	#1	#2	#3	#4	#5	#6	#7	#8	#9
103			UT Sydney A	15	1431	3	2	2	2	3	2	0	1	0
104			Edinburgh A	15	1427	2	3	1	0	3	3	0	0	3
105			UCC Phil A	15	1426	2	3	1	1	1	2	2	0	3
106			YNC A	15	1415	2	2	2	0	1	3	3	1	1
107			McGill B	15	1414	3	3	0	2	0	3	1	1	2
108			UNSW B	15	1413	2	2	2	2	1	3	0	3	0
108			Stanford E	15	1413	3	1	1	3	1	1	0	3	2
110			NUS A	15	1412	2	3	3	1	0	0	3	3	0
111			UNSW A	15	1411	2	3	0	1	2	3	1	1	2
111			Yale C	15	1411	2	0	3	1	1	3	2	3	0
111			MQU A	15	1411	2	3	2	0	2	3	2	0	1
114	17		IIUM C	15	1409	3	0	1	1	1	2	3	1	3
115			McGill C	15	1406	2	1	3	2	0	1	2	1	3
116			RRIS A	15	1404	2	2	2	0	1	3	1	2	2
117			MAD C	15	1403	0	3	3	0	3	2	0	3	1
117			TCD Hist A	15	1403	3	1	1	3	0	3	2	2	0
119			UCD LawSoc B	15	1402	2	1	3	0	0	3	2	2	2
119			NTU A	15	1402	3	2	0	0	2	3	1	3	1
119			TCD Phil B	15	1402	1	3	2	1	2	2	1	0	3
122	18	3	Indonesia A	15	1396	3	2	0	2	3	1	1	3	0
122	18		Malaya A	15	1396	2	0	3	2	1	1	2	2	2
124			UBC A	15	1392	3	0	1	3	1	0	3	2	2
124	20		BLCU A	15	1392	1	2	0	3	1	2	3	1	2
126			Warwick A	15	1389	0	3	3	1	2	2	0	3	1
126			Hart House B	15	1389	2	1	2	1	1	3	1	3	1
126	21		Taylor's A	15	1389	0	2	3	1	2	3	2	2	0
129			ANU B	15	1388	2	1	1	3	0	3	3	0	2
130			UCT B	15	1387	2	0	1	0	3	3	1	3	2
130			St Andrews C	15	1387	3	2	2	0	2	1	0	2	3
132			Middlebury A	15	1386	2	3	0	3	2	0	0	3	2
132			Swarthmore C	15	1386	0	3	2	2	3	2	0	2	1
134			SMU B	15	1385	2	2	0	1	1	1	2	3	3
135			KOREA A	15	1382	3	0	2	1	3	0	0	3	3
136			Berkeley A	15	1380	3	1	1	1	2	0	3	1	3
136	22		HKU A	15	1380	1	1	1	3	0	3	1	3	2
138	23	4	BINUS B	15	1377	1	1	3	1	3	3	0	2	1
139			MAD D	15	1376	1	3	1	0	3	2	2	0	3
140	24	5	SKT A	15	1375	2	2	1	2	2	2	1	2	1
141	25	6	SUFE B	15	1365	2	1	1	2	1	2	3	2	1
142	26		NSU A	15	1353	1	1	3	0	2	1	2	2	3
143			Swarthmore B	14	1433	2	2	3	1	2	1	3	0	0
144			Otago A	14	1420	3	2	0	3	1	2	1	2	0
145			Bates B	14	1411	3	1	0	3	2	3	2	0	0
146			Hart House C	14	1409	3	3	0	2	0	3	1	1	1
147			UWADU B	14	1408	2	3	0	1	3	0	3	1	1
148			VUW B	14	1404	3	3	2	0	1	0	0	2	3
148			Morehouse B	14	1404	3	0	0	3	2	2	2	2	0
150			Brown B	14	1402	2	0	0	3	1	3	1	3	1
151	27	7	Belgrade C	14	1400	3	3	2	0	0	2	1	2	1
151			TCD Phil A	14	1400	3	2	2	1	0	1	2	0	3
153			LSE C	14	1395	3	2	1	0	2	3	0	1	2
154	28		USDV A	14	1394	2	1	2	2	3	0	3	0	1
155			UADS A	14	1393	3	3	0	3	0	2	0	3	0
156			UVic A	14	1390	2	2	0	3	2	0	3	1	1
157			Cornell C	14	1389	1	2	3	1	1	2	1	1	2
158			Carleton A	14	1386	1	3	2	0	2	2	3	0	1
